class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9808939735519041,False,1.0
cable,1,0.9891304347826086,0.9747926268209549,False,1.0
capsule,2,0.9621061029118468,0.9868761758252234,False,1.0
carpet,3,0.9943820224719101,0.9879850247892008,False,1.0
grid,4,0.9908103592314118,0.9753883468191425,True,1.0
Average,,0.9872857838795553,0.9811872295612852,,1.0
Task_0_Average,0,1.0,0.9808939735519041,,1.0
Task_1_Average,1,0.9891304347826086,0.9747926268209549,,1.0
Task_2_Average,2,0.9621061029118468,0.9868761758252234,,1.0
Task_3_Average,3,0.9943820224719101,0.9879850247892008,,1.0
Task_4_Average,4,0.9908103592314118,0.9753883468191425,,1.0
