metric,value
experiment_name,Exp02-TailW0.6-TopK5-LogdetReg1e-4
strategy,MoLE-Flow
final_average_img_auc,0.9826988732558213
final_average_pixel_auc,0.9773445825386747
final_average_img_ap,0.9929290984418592
final_average_pixel_ap,0.5290187889393145
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9808939735519041
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.6701251646629309
cable_img_auc,0.9891304347826086
cable_pixel_auc,0.9747926268209549
cable_img_ap,0.9941281137474445
cable_pixel_ap,0.6319008278715392
capsule_img_auc,0.9621061029118468
capsule_pixel_auc,0.9868761758252234
capsule_img_ap,0.9907403129599949
capsule_pixel_ap,0.40613612511591257
carpet_img_auc,0.9943820224719101
carpet_pixel_auc,0.9879850247892008
carpet_img_ap,0.9983936288430671
carpet_pixel_ap,0.5763995984304505
grid_img_auc,0.9908103592314118
grid_pixel_auc,0.9753883468191425
grid_img_ap,0.996692046947425
grid_pixel_ap,0.2388509577464197
hazelnut_img_auc,0.9996428571428572
hazelnut_pixel_auc,0.9859207790256845
hazelnut_img_ap,0.999798792756539
hazelnut_pixel_ap,0.5491309723752927
leather_img_auc,1.0
leather_pixel_auc,0.9908952529727294
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.3639700556165588
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9751550181288513
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.803191468614095
pill_img_auc,0.9890889252591379
pill_pixel_auc,0.9893457906738118
pill_img_ap,0.9980716462151529
pill_pixel_ap,0.805831226558379
screw_img_auc,0.9192457470793196
screw_pixel_auc,0.9819669227686382
screw_img_ap,0.9687098732604855
screw_pixel_ap,0.20562382688458805
tile_img_auc,1.0
tile_pixel_auc,0.9662599794075061
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.7148189709774406
toothbrush_img_auc,0.9194444444444445
toothbrush_pixel_auc,0.9845905383414962
toothbrush_img_ap,0.965817444476758
toothbrush_pixel_ap,0.5342244837686869
transistor_img_auc,0.9925
transistor_pixel_auc,0.9667060292293478
transistor_img_ap,0.9862449022799522
transistor_pixel_ap,0.6464077764531079
wood_img_auc,0.9885964912280703
wood_pixel_auc,0.9368156629075812
wood_img_ap,0.9964486078960323
wood_pixel_ap,0.4268485500656763
zipper_img_auc,0.9955357142857143
zipper_pixel_auc,0.9765766168180479
zipper_img_ap,0.9988911072450368
zipper_pixel_ap,0.3618218289486403
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9826988732558213
oracle_mean_pixel_auc,0.9773445825386747
