class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9823338500411729,False,1.0
cable,1,0.9893178410794603,0.9767001401020527,False,1.0
capsule,2,0.9724770642201835,0.9866712602774107,False,1.0
carpet,3,0.995585874799358,0.9892665929711698,False,1.0
grid,4,0.9908103592314119,0.9767464335480633,False,1.0
hazelnut,5,0.9992857142857142,0.9868223123143861,True,1.0
Average,,0.9912461422693547,0.9830900982090426,,1.0
Task_0_Average,0,1.0,0.9823338500411729,,1.0
Task_1_Average,1,0.9893178410794603,0.9767001401020527,,1.0
Task_2_Average,2,0.9724770642201835,0.9866712602774107,,1.0
Task_3_Average,3,0.995585874799358,0.9892665929711698,,1.0
Task_4_Average,4,0.9908103592314119,0.9767464335480633,,1.0
Task_5_Average,5,0.9992857142857142,0.9868223123143861,,1.0
