metric,value
experiment_name,MVTec-WRN50-TailW0.7-TopK3-TailTopK3-ScaleK5-lr3e-4
strategy,MoLE-Flow
final_average_img_auc,0.9826012556581942
final_average_pixel_auc,0.9782617773503995
final_average_img_ap,0.9927042335246277
final_average_pixel_ap,0.5403741582205998
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9826759985800183
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.7180321968894694
cable_img_auc,0.989880059970015
cable_pixel_auc,0.9765564258586857
cable_img_ap,0.9949604127130198
cable_pixel_ap,0.6163240264549076
capsule_img_auc,0.9716792979656961
capsule_pixel_auc,0.9865591407602288
capsule_img_ap,0.9938589406168528
capsule_pixel_ap,0.3905244011825087
carpet_img_auc,0.9955858747993579
carpet_pixel_auc,0.9893278891234933
carpet_img_ap,0.9986862771281231
carpet_pixel_ap,0.623024379628685
grid_img_auc,0.9916457811194654
grid_pixel_auc,0.976774970337139
grid_img_ap,0.9971410908651217
grid_pixel_ap,0.2636943541500839
hazelnut_img_auc,0.9992857142857142
hazelnut_pixel_auc,0.986838520672676
hazelnut_img_ap,0.9995947111238859
hazelnut_pixel_ap,0.5798146546725219
leather_img_auc,1.0
leather_pixel_auc,0.9930773269214864
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.44233181500444774
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9714888218273012
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.7569167205787292
pill_img_auc,0.9904528096017458
pill_pixel_auc,0.989803342609477
pill_img_ap,0.9983783946379545
pill_pixel_ap,0.8090704291399178
screw_img_auc,0.9192457470793196
screw_pixel_auc,0.9827785926817404
screw_img_ap,0.9678109021428434
screw_pixel_ap,0.22614551885489645
tile_img_auc,1.0
tile_pixel_auc,0.9668398834908345
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.6673837228953421
toothbrush_img_auc,0.9083333333333333
toothbrush_pixel_auc,0.9847510270288343
toothbrush_img_ap,0.9596125382718517
toothbrush_pixel_ap,0.5434999839896569
transistor_img_auc,0.9916666666666667
transistor_pixel_auc,0.9696861030160558
transistor_img_ap,0.9860077028631956
transistor_pixel_ap,0.64664663613747
wood_img_auc,0.9885964912280701
wood_pixel_auc,0.9413097393648171
wood_img_ap,0.9963552967292747
wood_pixel_ap,0.46547883507814286
zipper_img_auc,0.9926470588235294
zipper_pixel_auc,0.975458877983207
zipper_img_ap,0.9981572357772901
zipper_pixel_ap,0.3567246986522169
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9826012556581942
oracle_mean_pixel_auc,0.9782617773503995
