Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9834,1.0000,0.7317
1,cable,100.00,0.9910,0.9769,0.9951,0.5913
2,capsule,100.00,0.9649,0.9863,0.9920,0.3979
3,carpet,100.00,0.9944,0.9899,0.9984,0.6346
4,grid,100.00,0.9850,0.9755,0.9948,0.2683
5,hazelnut,100.00,1.0000,0.9870,1.0000,0.5832
6,leather,100.00,1.0000,0.9936,1.0000,0.4675
7,metal_nut,100.00,1.0000,0.9707,1.0000,0.7501
8,pill,100.00,0.9894,0.9900,0.9982,0.8177
9,screw,100.00,0.9235,0.9778,0.9701,0.2184
10,tile,100.00,1.0000,0.9662,1.0000,0.6619
11,toothbrush,100.00,0.9111,0.9835,0.9619,0.5269
12,transistor,100.00,0.9929,0.9712,0.9890,0.6512
13,wood,100.00,0.9877,0.9431,0.9961,0.4900
14,zipper,100.00,0.9887,0.9732,0.9970,0.3367
Mean,Overall,100.00,0.9819*,0.9779*,0.9928*,0.5418*
