Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9828,1.0000,0.7209
1,cable,100.00,0.9901,0.9753,0.9950,0.6229
2,capsule,100.00,0.9645,0.9864,0.9920,0.3921
3,carpet,100.00,0.9948,0.9898,0.9985,0.6390
4,grid,100.00,0.9908,0.9767,0.9968,0.2645
5,hazelnut,100.00,1.0000,0.9872,1.0000,0.5880
6,leather,100.00,1.0000,0.9932,1.0000,0.4415
7,metal_nut,100.00,1.0000,0.9735,1.0000,0.7744
8,pill,100.00,0.9891,0.9904,0.9982,0.8233
9,screw,100.00,0.9092,0.9791,0.9644,0.2108
10,tile,100.00,1.0000,0.9677,1.0000,0.6809
11,toothbrush,100.00,0.9056,0.9839,0.9579,0.5339
12,transistor,100.00,0.9946,0.9702,0.9916,0.6571
13,wood,100.00,0.9886,0.9422,0.9964,0.4717
14,zipper,100.00,0.9905,0.9749,0.9975,0.3526
Mean,Overall,100.00,0.9812*,0.9782*,0.9925*,0.5449*
