metric,value
experiment_name,Exp10-TopK3-TailW0.5-LogdetReg1e-4-ScaleCtxK5
strategy,MoLE-Flow
final_average_img_auc,0.9801853029871969
final_average_pixel_auc,0.9771624985739099
final_average_img_ap,0.9922517320610259
final_average_pixel_ap,0.5316864847157048
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9802265317230966
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.6513512750347425
cable_img_auc,0.9880059970014993
cable_pixel_auc,0.9759662844606865
cable_img_ap,0.9940806944361547
cable_pixel_ap,0.6401974634668897
capsule_img_auc,0.9625049860390906
capsule_pixel_auc,0.9864472661754244
capsule_img_ap,0.991212030878771
capsule_pixel_ap,0.38478689921657927
carpet_img_auc,0.9947833065810594
carpet_pixel_auc,0.9886457494278651
carpet_img_ap,0.9984796067914221
carpet_pixel_ap,0.6169462010961267
grid_img_auc,0.9933166248955723
grid_pixel_auc,0.9758994501789001
grid_img_ap,0.9977080860044851
grid_pixel_ap,0.2541071947667283
hazelnut_img_auc,1.0
hazelnut_pixel_auc,0.987303688050068
hazelnut_img_ap,0.9999999999999998
hazelnut_pixel_ap,0.5902039878954422
leather_img_auc,1.0
leather_pixel_auc,0.9906760940945899
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.36089784741276637
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9777253779183578
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.8139669597044629
pill_img_auc,0.9871794871794871
pill_pixel_auc,0.989906440152819
pill_img_ap,0.9978567917951399
pill_pixel_ap,0.8218240119663799
screw_img_auc,0.9067431850789096
screw_pixel_auc,0.9809770543926924
screw_img_ap,0.9636837804648146
screw_pixel_ap,0.21418728883620902
tile_img_auc,1.0
tile_pixel_auc,0.9648756101987741
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.659585206674985
toothbrush_img_auc,0.8972222222222223
toothbrush_pixel_auc,0.9844056900175547
toothbrush_img_ap,0.9535360874895186
toothbrush_pixel_ap,0.5402799603402672
transistor_img_auc,0.99625
transistor_pixel_auc,0.9629400311318641
transistor_img_ap,0.9943119967574398
transistor_pixel_ap,0.6511151675837835
wood_img_auc,0.9859649122807017
wood_pixel_auc,0.9357779009170976
wood_img_ap,0.9953201913064743
wood_pixel_ap,0.4366657318923627
zipper_img_auc,0.9908088235294118
zipper_pixel_auc,0.9756643097688591
zipper_img_ap,0.9975867149911686
zipper_pixel_ap,0.33918207484784746
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9801853029871969
oracle_mean_pixel_auc,0.9771624985739099
