class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9642427840405335,False,1.0
cable,1,0.9891304347826088,0.9749604950112697,False,1.0
capsule,2,0.9601116872756283,0.985406664213742,False,1.0
carpet,3,0.9847512038523274,0.9816859213857974,False,1.0
grid,4,0.9974937343358397,0.9753899973286557,False,1.0
hazelnut,5,0.9996428571428572,0.984468122738997,False,1.0
leather,6,1.0,0.98157011046375,False,1.0
metal_nut,7,1.0,0.9844252999176394,False,1.0
pill,8,0.9888161483906165,0.9882240618174136,False,1.0
screw,9,0.9098175855708137,0.9828421297900877,False,1.0
tile,10,1.0,0.9575793878877309,True,1.0
Average,,0.9845239683046084,0.9782540885996016,,1.0
Task_0_Average,0,1.0,0.9642427840405335,,1.0
Task_1_Average,1,0.9891304347826088,0.9749604950112697,,1.0
Task_2_Average,2,0.9601116872756283,0.985406664213742,,1.0
Task_3_Average,3,0.9847512038523274,0.9816859213857974,,1.0
Task_4_Average,4,0.9974937343358397,0.9753899973286557,,1.0
Task_5_Average,5,0.9996428571428572,0.984468122738997,,1.0
Task_6_Average,6,1.0,0.98157011046375,,1.0
Task_7_Average,7,1.0,0.9844252999176394,,1.0
Task_8_Average,8,0.9888161483906165,0.9882240618174136,,1.0
Task_9_Average,9,0.9098175855708137,0.9828421297900877,,1.0
Task_10_Average,10,1.0,0.9575793878877309,,1.0
