class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9802075725192319,False,1.0
cable,1,0.991191904047976,0.9759633946012036,False,1.0
capsule,2,0.9672915835660152,0.9871202747314114,False,1.0
carpet,3,0.99438202247191,0.9874810182785145,False,1.0
grid,4,0.9908103592314118,0.9752497272009877,True,1.0
Average,,0.9887351738634627,0.9812043974662699,,1.0
Task_0_Average,0,1.0,0.9802075725192319,,1.0
Task_1_Average,1,0.991191904047976,0.9759633946012036,,1.0
Task_2_Average,2,0.9672915835660152,0.9871202747314114,,1.0
Task_3_Average,3,0.99438202247191,0.9874810182785145,,1.0
Task_4_Average,4,0.9908103592314118,0.9752497272009877,,1.0
