Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9680,1.0000,0.4913
1,cable,100.00,0.9903,0.9752,0.9948,0.6578
2,capsule,100.00,0.9653,0.9859,0.9916,0.3676
3,carpet,100.00,0.9876,0.9825,0.9965,0.4500
4,grid,100.00,0.9983,0.9756,0.9994,0.2052
5,hazelnut,100.00,1.0000,0.9849,1.0000,0.5162
6,leather,100.00,1.0000,0.9830,1.0000,0.2453
7,metal_nut,100.00,1.0000,0.9843,1.0000,0.8711
8,pill,100.00,0.9885,0.9885,0.9980,0.8052
9,screw,100.00,0.9166,0.9836,0.9677,0.2089
10,tile,100.00,1.0000,0.9596,1.0000,0.6931
11,toothbrush,100.00,0.9000,0.9820,0.9550,0.4640
12,transistor,100.00,0.9979,0.9694,0.9968,0.6621
13,wood,100.00,0.9877,0.9231,0.9961,0.3389
14,zipper,100.00,0.9971,0.9749,0.9993,0.3218
Mean,Overall,100.00,0.9820*,0.9747*,0.9930*,0.4866*
