class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9791217448299843,False,1.0
cable,1,0.9936281859070465,0.977016920523895,False,1.0
capsule,2,0.9637016354208218,0.9858787965978545,False,1.0
carpet,3,0.9903691813804173,0.9866355787970643,False,1.0
grid,4,0.9891395154553049,0.9758615014334469,True,1.0
Average,,0.987367703632718,0.9809029084364489,,1.0
Task_0_Average,0,1.0,0.9791217448299843,,1.0
Task_1_Average,1,0.9936281859070465,0.977016920523895,,1.0
Task_2_Average,2,0.9637016354208218,0.9858787965978545,,1.0
Task_3_Average,3,0.9903691813804173,0.9866355787970643,,1.0
Task_4_Average,4,0.9891395154553049,0.9758615014334469,,1.0
