Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9642,1.0000,0.4564
1,cable,100.00,0.9910,0.9765,0.9953,0.6598
2,capsule,100.00,0.9573,0.9853,0.9902,0.3444
3,carpet,100.00,0.9872,0.9814,0.9964,0.4339
4,grid,100.00,0.9900,0.9758,0.9968,0.1987
5,hazelnut,100.00,1.0000,0.9842,1.0000,0.4986
6,leather,100.00,1.0000,0.9812,1.0000,0.2287
7,metal_nut,100.00,1.0000,0.9833,1.0000,0.8556
8,pill,100.00,0.9834,0.9881,0.9972,0.8028
9,screw,100.00,0.9127,0.9849,0.9666,0.2229
10,tile,100.00,1.0000,0.9570,1.0000,0.6626
11,toothbrush,100.00,0.9056,0.9804,0.9583,0.4251
12,transistor,100.00,1.0000,0.9681,1.0000,0.6590
13,wood,100.00,0.9912,0.9192,0.9973,0.3136
14,zipper,100.00,0.9940,0.9747,0.9985,0.3140
Mean,Overall,100.00,0.9808*,0.9736*,0.9931*,0.4718*
