class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8172,0.9696674907361028,False,1.0
capsules,1,0.6861666666666666,0.9543547921452328,False,1.0
cashew,2,0.8171999999999999,0.9768580729953819,False,1.0
chewinggum,3,0.8246,0.9859181855355299,False,1.0
fryum,4,0.9564,0.910510247381378,False,1.0
macaroni1,5,0.7356,0.9710295649607343,False,1.0
macaroni2,6,0.6886000000000001,0.9003720485098039,False,1.0
pcb1,7,0.8267,0.9873957802227635,True,1.0
Average,,0.7940583333333333,0.9570132728108659,,1.0
Task_0_Average,0,0.8172,0.9696674907361028,,1.0
Task_1_Average,1,0.6861666666666666,0.9543547921452328,,1.0
Task_2_Average,2,0.8171999999999999,0.9768580729953819,,1.0
Task_3_Average,3,0.8246,0.9859181855355299,,1.0
Task_4_Average,4,0.9564,0.910510247381378,,1.0
Task_5_Average,5,0.7356,0.9710295649607343,,1.0
Task_6_Average,6,0.6886000000000001,0.9003720485098039,,1.0
Task_7_Average,7,0.8267,0.9873957802227635,,1.0
