task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,452.7139162336077,9.997557473810373e-05,,,,,,
0,1.0,BASE,-34.19056225674493,9.990232305719946e-05,,,,,,
0,2.0,BASE,-171.45887061527796,9.978031724785248e-05,,,,,,
0,3.0,BASE,-247.1523333958217,9.960967771506668e-05,,,,,,
0,4.0,BASE,-302.6655306134905,9.939057285945934e-05,,,,,,
0,5.0,BASE,-346.93552889142717,9.912321891107012e-05,,,,,,
0,6.0,BASE,-383.72676031930104,9.880787971596802e-05,,,,,,
0,7.0,BASE,-413.3488758632115,9.844486647586726e-05,,,,,,
0,8.0,BASE,-439.884897504534,9.80345374410087e-05,,,,,,
0,9.0,BASE,-465.1372288295201,9.757729755661012e-05,,,,,,
0,10.0,BASE,-487.1549197605678,9.707359806323419e-05,,,,,,
0,11.0,BASE,-508.51002393450057,9.652393605146847e-05,,,,,,
0,12.0,BASE,-527.797442299979,9.592885397135708e-05,,,,,,
0,13.0,BASE,-545.4269583565848,9.5288939097068e-05,,,,,,
0,14.0,BASE,-563.6734204973493,9.460482294732424e-05,,,,,,
0,15.0,BASE,-580.3877890450614,9.387718066217127e-05,,,,,,
0,16.0,BASE,-595.8273816789899,9.310673033669524e-05,,,,,,
0,17.0,BASE,-609.8036673409598,9.229423231234978e-05,,,,,,
0,18.0,BASE,-624.1474947248187,9.144048842659084e-05,,,,,,
0,19.0,BASE,-637.294301714216,9.054634122155993e-05,,,,,,
0,20.0,BASE,-649.8600267682757,8.961267311259669e-05,,,,,,
0,21.0,BASE,-662.5341044834682,8.864040551740159e-05,,,,,,
0,22.0,BASE,-674.5660716465542,8.763049794670778e-05,,,,,,
0,23.0,BASE,-685.1223308018276,8.65839470573599e-05,,,,,,
0,24.0,BASE,-696.2703236171177,8.550178566873413e-05,,,,,,
0,25.0,BASE,-706.5736509050641,8.438508174347012e-05,,,,,,
0,26.0,BASE,-718.0282244001116,8.32349373335208e-05,,,,,,
0,27.0,BASE,-727.5449763706753,8.205248749256017e-05,,,,,,
0,28.0,BASE,-737.4394640241351,8.083889915582238e-05,,,,,,
0,29.0,BASE,-747.8211026872907,7.959536998847746e-05,,,,,,
0,30.0,BASE,-755.8835340227399,7.83231272036805e-05,,,,,,
0,31.0,BASE,-766.0091280255999,7.702342635146036e-05,,,,,,
0,32.0,BASE,-774.2422321864536,7.56975500796434e-05,,,,,,
0,33.0,BASE,-783.7742124285016,7.434680686803493e-05,,,,,,
0,34.0,BASE,-791.869631086077,7.297252973710759e-05,,,,,,
0,35.0,BASE,-799.8397718157087,7.157607493247112e-05,,,,,,
0,36.0,BASE,-807.0683822631836,7.015882058642166e-05,,,,,,
0,37.0,BASE,-815.7973044259207,6.87221653578916e-05,,,,,,
0,38.0,BASE,-823.5566537039621,6.726752705214197e-05,,,,,,
0,39.0,BASE,-830.8373206002371,6.579634122155994e-05,,,,,,
0,40.0,BASE,-838.0422712053571,6.431005974894189e-05,,,,,,
0,41.0,BASE,-845.0611506870815,6.281014941466034e-05,,,,,,
0,42.0,BASE,-851.6646990094866,6.12980904491289e-05,,,,,,
0,43.0,BASE,-858.9668437412807,5.977537507199341e-05,,,,,,
0,44.0,BASE,-866.0854143415179,5.8243506019491463e-05,,,,,,
0,45.0,BASE,-872.2385384695871,5.67039950614331e-05,,,,,,
0,46.0,BASE,-878.0635615757534,5.515836150926649e-05,,,,,,
0,47.0,BASE,-884.1926770891462,5.3608130716701046e-05,,,,,,
0,48.0,BASE,-890.0020305088589,5.205483257436738e-05,,,,,,
0,49.0,BASE,-895.8495832170759,5.050000000000003e-05,,,,,,
0,50.0,BASE,-902.0357916695731,4.894516742563268e-05,,,,,,
0,51.0,BASE,-907.7319216047015,4.739186928329902e-05,,,,,,
0,52.0,BASE,-913.4681015014648,4.584163849073357e-05,,,,,,
0,53.0,BASE,-918.2802352905273,4.429600493856697e-05,,,,,,
0,54.0,BASE,-922.9931215558734,4.275649398050859e-05,,,,,,
0,55.0,BASE,-928.7764663696289,4.122462492800665e-05,,,,,,
0,56.0,BASE,-932.9076276506696,3.9701909550871175e-05,,,,,,
0,57.0,BASE,-937.837884085519,3.81898505853397e-05,,,,,,
0,58.0,BASE,-941.5326570783343,3.668994025105817e-05,,,,,,
0,59.0,BASE,-946.9466977800641,3.520365877844013e-05,,,,,,
0,60.0,BASE,-950.2570081438337,3.373247294785809e-05,,,,,,
