Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8901,0.8596,0.9094,0.0650
1,capsules,100.00,0.8870,0.9485,0.9370,0.2806
2,cashew,100.00,0.9782,0.9794,0.9884,0.7335
3,chewinggum,100.00,0.9364,0.9478,0.9716,0.3707
4,fryum,100.00,0.9268,0.9342,0.9649,0.3009
5,macaroni1,100.00,0.8702,0.8710,0.8616,0.0252
6,macaroni2,100.00,0.6753,0.7486,0.6274,0.0047
7,pcb1,100.00,0.9503,0.9814,0.9399,0.5816
8,pcb2,100.00,0.8911,0.9544,0.8951,0.1024
9,pcb3,100.00,0.8521,0.9247,0.8674,0.1757
10,pcb4,100.00,0.9694,0.9212,0.9588,0.1560
11,pipe_fryum,98.67,0.9496,0.9832,0.9756,0.3356
Mean,Overall,99.89,0.8980*,0.9212*,0.9081*,0.2610*
