class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.9043,0.8852459562981325,False,1.0
capsules,1,0.8766666666666667,0.9590343933298746,False,1.0
cashew,2,0.9764,0.9808894435360431,False,1.0
chewinggum,3,0.9263999999999999,0.9467413693952834,False,1.0
fryum,4,0.9356,0.9348093313398426,False,1.0
macaroni1,5,0.865,0.9057044792958292,True,1.0
Average,,0.9140611111111111,0.9354041621991676,,1.0
Task_0_Average,0,0.9043,0.8852459562981325,,1.0
Task_1_Average,1,0.8766666666666667,0.9590343933298746,,1.0
Task_2_Average,2,0.9764,0.9808894435360431,,1.0
Task_3_Average,3,0.9263999999999999,0.9467413693952834,,1.0
Task_4_Average,4,0.9356,0.9348093313398426,,1.0
Task_5_Average,5,0.865,0.9057044792958292,,1.0
