task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,397.5095755713327,0.00029988551188174734,,,,,,
0,1.0,BASE,-31.408975192478724,0.0002995422240593695,,,,,,
0,2.0,BASE,-183.55991663251604,0.0002989706658578066,,,,,,
0,3.0,BASE,-295.51435715811596,0.00029817171857837797,,,,,,
0,4.0,BASE,-394.521178654262,0.0002971466141398797,,,,,,
0,5.0,BASE,-483.4711461748396,0.00029589693317905494,,,,,,
0,6.0,BASE,-566.6396811349051,0.0002944246026133666,,,,,,
0,7.0,BASE,-646.546393258231,0.0002927318926698303,,,,,,
0,8.0,BASE,-727.5256827218192,0.0002908214133844889,,,,,,
0,9.0,BASE,-813.7573710850307,0.00028869611057792606,,,,,,
0,10.0,BASE,-901.0692367553711,0.0002863592613130246,,,,,,
0,11.0,BASE,-986.6394032069614,0.00028381446884197264,,,,,,
0,12.0,BASE,-1075.109643118722,0.0002810656570503104,,,,,,
0,13.0,BASE,-1159.2354845319476,0.0002781170644065827,,,,,,
0,14.0,BASE,-1243.8583613804408,0.000274973237426928,,,,,,
0,15.0,BASE,-1332.2331324986048,0.00027163902366467976,,,,,,
0,16.0,BASE,-1416.5222952706474,0.00026811956423579067,,,,,,
0,17.0,BASE,-1499.1377846854073,0.0002644202858916047,,,,,,
0,18.0,BASE,-1579.3159986223493,0.0002605468926511994,,,,,,
0,19.0,BASE,-1660.6270599365234,0.00025650535700620235,,,,,,
0,20.0,BASE,-1737.0841979980469,0.0002523019107116419,,,,,,
0,21.0,BASE,-1812.1627546037946,0.00024794303517703233,,,,,,
0,22.0,BASE,-1887.303447178432,0.00024343545147251033,,,,,,
0,23.0,BASE,-1957.178719656808,0.00023878610996543224,,,,,,
0,24.0,BASE,-2024.3416748046875,0.00023400217960341092,,,,,,
0,25.0,BASE,-2090.204860142299,0.00022909103686031838,,,,,,
0,26.0,BASE,-2151.0117928641184,0.00022406025436229782,,,,,,
0,27.0,BASE,-2212.1771196637833,0.0002189175892113227,,,,,,
0,28.0,BASE,-2271.2421439034597,0.00021367097102430809,,,,,,
0,29.0,BASE,-2332.476876395089,0.00020832848970621585,,,,,,
0,30.0,BASE,-2393.827122279576,0.00020289838297600773,,,,,,
0,31.0,BASE,-2453.6041390555247,0.00019738902366467972,,,,,,
0,32.0,BASE,-2506.877672467913,0.00019180890680496355,,,,,,
0,33.0,BASE,-2539.521946498326,0.000186166636532602,,,,,,
0,34.0,BASE,-2565.9503566196986,0.0001804709128193951,,,,,,
0,35.0,BASE,-2586.1915021623886,0.00017473051805847432,,,,,,
0,36.0,BASE,-2605.731728690011,0.00016895430352248893,,,,,,
0,37.0,BASE,-2622.992213657924,0.000163151175715585,,,,,,
0,38.0,BASE,-2638.616956438337,0.00015733008264022172,,,,,,
0,39.0,BASE,-2653.409842354911,0.00015150000000000002,,,,,,
0,40.0,BASE,-2666.6766183035716,0.00014566991735977838,,,,,,
0,41.0,BASE,-2678.871834891183,0.0001398488242844151,,,,,,
0,42.0,BASE,-2692.020664760045,0.00013404569647751117,,,,,,
0,43.0,BASE,-2703.6841561453684,0.0001282694819415258,,,,,,
0,44.0,BASE,-2714.955082484654,0.000122529087180605,,,,,,
0,45.0,BASE,-2725.5536368233816,0.0001168333634673981,,,,,,
0,46.0,BASE,-2735.9769025530136,0.00011119109319503649,,,,,,
0,47.0,BASE,-2744.801971435547,0.00010561097633532036,,,,,,
0,48.0,BASE,-2754.232090541295,0.00010010161702399236,,,,,,
0,49.0,BASE,-2762.639426095145,9.467151029378421e-05,,,,,,
0,50.0,BASE,-2770.484579903739,8.932902897569202e-05,,,,,,
0,51.0,BASE,-2779.4520438058034,8.408241078867735e-05,,,,,,
0,52.0,BASE,-2786.770503452846,7.893974563770221e-05,,,,,,
0,53.0,BASE,-2793.790989467076,7.390896313968164e-05,,,,,,
0,54.0,BASE,-2800.967206682478,6.89978203965891e-05,,,,,,
0,55.0,BASE,-2807.8770577566966,6.421389003456779e-05,,,,,,
0,56.0,BASE,-2814.2535618373327,5.956454852748972e-05,,,,,,
0,57.0,BASE,-2820.097608293806,5.505696482296777e-05,,,,,,
0,58.0,BASE,-2825.725825718471,5.06980892883582e-05,,,,,,
0,59.0,BASE,-2832.2318376813614,4.6494642993797725e-05,,,,,,
0,60.0,BASE,-2837.246904645647,4.24531073488007e-05,,,,,,
0,61.0,BASE,-2842.710187639509,3.857971410839543e-05,,,,,,
0,62.0,BASE,-2847.1343950544083,3.4880435764209376e-05,,,,,,
0,63.0,BASE,-2851.7218017578125,3.1360976335320335e-05,,,,,,
0,64.0,BASE,-2856.411368233817,2.8026762573072077e-05,,,,,,
0,65.0,BASE,-2860.511151994978,2.488293559341732e-05,,,,,,
0,66.0,BASE,-2864.3892604282923,2.193434294968966e-05,,,,,,
0,67.0,BASE,-2868.2557111467636,1.918553115802739e-05,,,,,,
0,68.0,BASE,-2871.629228864397,1.6640738686975425e-05,,,,,,
0,69.0,BASE,-2873.715340750558,1.4303889422073924e-05,,,,,,
0,70.0,BASE,-2877.250013078962,1.2178586615511106e-05,,,,,,
0,71.0,BASE,-2879.839869907924,1.0268107330169702e-05,,,,,,
0,72.0,BASE,-2882.4254106794083,8.575397386633397e-06,,,,,,
0,73.0,BASE,-2884.1351187569753,7.103066820945032e-06,,,,,,
0,74.0,BASE,-2885.6936863490514,5.853385860120282e-06,,,,,,
0,75.0,BASE,-2887.5378766741073,4.828281421622058e-06,,,,,,
0,76.0,BASE,-2888.4652971540177,4.0293341421934455e-06,,,,,,
0,77.0,BASE,-2889.992597307478,3.457775940630497e-06,,,,,,
0,78.0,BASE,-2890.9555053710938,3.114488118252649e-06,,,,,,
0,79.0,BASE,-2892.316951206752,2.9999999999999997e-06,,,,,,
1,0.0,FAST,-1310.879764441288,0.00015,,,,,,
1,1.0,FAST,-1868.2153172348485,0.0003,,,,,,
1,2.0,FAST,-2019.627334132339,0.00029988551188174734,,,,,,
1,3.0,FAST,-2068.9582260594225,0.0002995422240593695,,,,,,
1,4.0,FAST,-2100.852021188447,0.0002989706658578066,,,,,,
1,5.0,FAST,-2127.667510061553,0.00029817171857837797,,,,,,
1,6.0,FAST,-2147.545136422822,0.0002971466141398797,,,,,,
1,7.0,FAST,-2166.9562840317235,0.00029589693317905494,,,,,,
1,8.0,FAST,-2183.0178962476325,0.0002944246026133666,,,,,,
1,9.0,FAST,-2196.5141083688445,0.0002927318926698303,,,,,,
1,10.0,FAST,-2211.0479921283145,0.0002908214133844889,,,,,,
1,11.0,FAST,-2222.3643391927085,0.00028869611057792606,,,,,,
1,12.0,FAST,-2233.5976784446025,0.0002863592613130246,,,,,,
1,13.0,FAST,-2240.9983428030305,0.00028381446884197264,,,,,,
1,14.0,FAST,-2249.3289092092805,0.0002810656570503104,,,,,,
1,15.0,FAST,-2258.2196451822915,0.0002781170644065827,,,,,,
1,16.0,FAST,-2264.465701941288,0.000274973237426928,,,,,,
1,17.0,FAST,-2271.0660289417615,0.00027163902366467976,,,,,,
1,18.0,FAST,-2277.480809067235,0.00026811956423579067,,,,,,
1,19.0,FAST,-2284.358524206913,0.0002644202858916047,,,,,,
1,20.0,FAST,-2289.383641098485,0.0002605468926511994,,,,,,
1,21.0,FAST,-2295.634484493371,0.00025650535700620235,,,,,,
1,22.0,FAST,-2301.1293501420455,0.0002523019107116419,,,,,,
1,23.0,FAST,-2306.920203006629,0.00024794303517703233,,,,,,
1,24.0,FAST,-2312.1477272727275,0.00024343545147251033,,,,,,
1,25.0,FAST,-2316.1731696851325,0.00023878610996543224,,,,,,
1,26.0,FAST,-2321.855342980587,0.00023400217960341092,,,,,,
1,27.0,FAST,-2325.1059792258525,0.00022909103686031838,,,,,,
1,28.0,FAST,-2329.242587002841,0.00022406025436229782,,,,,,
1,29.0,FAST,-2332.608516808712,0.0002189175892113227,,,,,,
1,30.0,FAST,-2336.264219341856,0.00021367097102430809,,,,,,
1,31.0,FAST,-2340.7414106889205,0.00020832848970621585,,,,,,
1,32.0,FAST,-2343.3605735085225,0.00020289838297600773,,,,,,
1,33.0,FAST,-2347.2513538707385,0.00019738902366467972,,,,,,
1,34.0,FAST,-2349.9636748342805,0.00019180890680496355,,,,,,
1,35.0,FAST,-2353.667658025568,0.000186166636532602,,,,,,
1,36.0,FAST,-2356.2516276041665,0.0001804709128193951,,,,,,
1,37.0,FAST,-2359.351066820549,0.00017473051805847432,,,,,,
1,38.0,FAST,-2362.9580226089015,0.00016895430352248893,,,,,,
1,39.0,FAST,-2365.7970451586175,0.000163151175715585,,,,,,
1,40.0,FAST,-2368.942109079072,0.00015733008264022172,,,,,,
1,41.0,FAST,-2371.002567175663,0.00015150000000000002,,,,,,
1,42.0,FAST,-2373.3672392874055,0.00014566991735977838,,,,,,
1,43.0,FAST,-2376.322961055871,0.0001398488242844151,,,,,,
1,44.0,FAST,-2378.4530436197915,0.00013404569647751117,,,,,,
1,45.0,FAST,-2380.960205078125,0.0001282694819415258,,,,,,
1,46.0,FAST,-2383.3713822798295,0.000122529087180605,,,,,,
1,47.0,FAST,-2385.189630681818,0.0001168333634673981,,,,,,
1,48.0,FAST,-2387.3381199692235,0.00011119109319503649,,,,,,
1,49.0,FAST,-2389.312137488163,0.00010561097633532036,,,,,,
1,50.0,FAST,-2391.0147594105115,0.00010010161702399236,,,,,,
1,51.0,FAST,-2393.0682484019885,9.467151029378421e-05,,,,,,
1,52.0,FAST,-2394.952947443182,8.932902897569202e-05,,,,,,
1,53.0,FAST,-2396.5415482954545,8.408241078867735e-05,,,,,,
1,54.0,FAST,-2398.1977317116475,7.893974563770221e-05,,,,,,
1,55.0,FAST,-2399.9297910748105,7.390896313968164e-05,,,,,,
1,56.0,FAST,-2400.9102968158145,6.89978203965891e-05,,,,,,
1,57.0,FAST,-2402.7416770241475,6.421389003456779e-05,,,,,,
1,58.0,FAST,-2403.615900213068,5.956454852748972e-05,,,,,,
1,59.0,FAST,-2405.333525686553,5.505696482296777e-05,,,,,,
1,60.0,FAST,-2406.300500118371,5.06980892883582e-05,,,,,,
1,61.0,FAST,-2407.451379024621,4.6494642993797725e-05,,,,,,
1,62.0,FAST,-2408.679650508996,4.24531073488007e-05,,,,,,
1,63.0,FAST,-2409.508796460701,3.857971410839543e-05,,,,,,
1,64.0,FAST,-2410.6096339370265,3.4880435764209376e-05,,,,,,
1,65.0,FAST,-2411.518029415246,3.1360976335320335e-05,,,,,,
1,66.0,FAST,-2412.1031975023675,2.8026762573072077e-05,,,,,,
1,67.0,FAST,-2412.839362866951,2.488293559341732e-05,,,,,,
1,68.0,FAST,-2413.4247307054925,2.193434294968966e-05,,,,,,
1,69.0,FAST,-2414.254387133049,1.918553115802739e-05,,,,,,
1,70.0,FAST,-2414.5406383167615,1.6640738686975425e-05,,,,,,
1,71.0,FAST,-2415.139530066288,1.4303889422073924e-05,,,,,,
1,72.0,FAST,-2415.553925485322,1.2178586615511106e-05,,,,,,
1,73.0,FAST,-2416.0084413470645,1.0268107330169702e-05,,,,,,
1,74.0,FAST,-2416.3647238991475,8.575397386633397e-06,,,,,,
1,75.0,FAST,-2416.598691998106,7.103066820945032e-06,,,,,,
1,76.0,FAST,-2416.8900035511365,5.853385860120282e-06,,,,,,
1,77.0,FAST,-2417.1602894176135,4.828281421622058e-06,,,,,,
1,78.0,FAST,-2417.2465376420455,4.0293341421934455e-06,,,,,,
1,79.0,FAST,-2417.474372632576,3.457775940630497e-06,,,,,,
2,0.0,FAST,-1610.3711983816963,0.00015,,,,,,
2,1.0,FAST,-2142.826437813895,0.0003,,,,,,
2,2.0,FAST,-2313.940926688058,0.00029988551188174734,,,,,,
2,3.0,FAST,-2370.138401576451,0.0002995422240593695,,,,,,
2,4.0,FAST,-2403.8543875558034,0.0002989706658578066,,,,,,
2,5.0,FAST,-2428.2886265345983,0.00029817171857837797,,,,,,
