class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8172,0.9696674907361028,False,1.0
capsules,1,0.6861666666666666,0.9543547921452328,False,1.0
cashew,2,0.8171999999999999,0.9768580729953819,False,1.0
chewinggum,3,0.8246,0.9859181855355299,False,1.0
fryum,4,0.9564,0.910510247381378,True,1.0
Average,,0.8203133333333333,0.959461757758725,,1.0
Task_0_Average,0,0.8172,0.9696674907361028,,1.0
Task_1_Average,1,0.6861666666666666,0.9543547921452328,,1.0
Task_2_Average,2,0.8171999999999999,0.9768580729953819,,1.0
Task_3_Average,3,0.8246,0.9859181855355299,,1.0
Task_4_Average,4,0.9564,0.910510247381378,,1.0
