metric,value
experiment_name,VISA-WRN50-TailW0.7-TopK3-ScaleK5-Baseline
strategy,MoLE-Flow
final_average_img_auc,0.8106710671067107
final_average_pixel_auc,0.9622664204403365
final_average_img_ap,0.811848216134968
final_average_pixel_ap,0.26082019772973214
total_classes,12
total_tasks,12
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
candle_img_auc,0.8172
candle_pixel_auc,0.9696674907361028
candle_img_ap,0.7620594159540321
candle_pixel_ap,0.1758731220030416
capsules_img_auc,0.6861666666666666
capsules_pixel_auc,0.9543547921452328
capsules_img_ap,0.7797769554550543
capsules_pixel_ap,0.18852955966874524
cashew_img_auc,0.8171999999999999
cashew_pixel_auc,0.9768580729953819
cashew_img_ap,0.9012682835785866
cashew_pixel_ap,0.3910991884581171
chewinggum_img_auc,0.8246
chewinggum_pixel_auc,0.9859181855355299
chewinggum_img_ap,0.8676682566932656
chewinggum_pixel_ap,0.4449389968836571
fryum_img_auc,0.9564
fryum_pixel_auc,0.910510247381378
fryum_img_ap,0.9794183492172258
fryum_pixel_ap,0.4268346125401472
macaroni1_img_auc,0.7356
macaroni1_pixel_auc,0.9710295649607343
macaroni1_img_ap,0.6757099074552815
macaroni1_pixel_ap,0.05566801217124683
macaroni2_img_auc,0.6886000000000001
macaroni2_pixel_auc,0.9003720485098039
macaroni2_img_ap,0.6636000926781176
macaroni2_pixel_ap,0.007458532818212522
pcb1_img_auc,0.8267
pcb1_pixel_auc,0.9873957802227635
pcb1_img_ap,0.7734335787413132
pcb1_pixel_ap,0.3912141521702471
pcb2_img_auc,0.7544
pcb2_pixel_auc,0.9619247305226177
pcb2_img_ap,0.7400481214927318
pcb2_pixel_ap,0.09161673692411955
pcb3_img_auc,0.7668316831683167
pcb3_pixel_auc,0.9747541586234589
pcb3_img_ap,0.7730523820619112
pcb3_pixel_ap,0.2341331991063317
pcb4_img_auc,0.9445544554455446
pcb4_pixel_auc,0.9685854192380444
pcb4_img_ap,0.8888738082013805
pcb4_pixel_ap,0.22678613760850486
pipe_fryum_img_auc,0.9098
pipe_fryum_pixel_auc,0.9858265544129917
pipe_fryum_img_ap,0.9372694420907167
pipe_fryum_pixel_ap,0.4956901224044148
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
oracle_mean_img_auc,0.8106710671067107
oracle_mean_pixel_auc,0.9622664204403365
