Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8314,0.9697,0.7822,0.1759
1,capsules,100.00,0.6960,0.9544,0.7874,0.1885
2,cashew,100.00,0.8398,0.9769,0.9140,0.3911
3,chewinggum,100.00,0.8550,0.9859,0.8957,0.4449
4,fryum,100.00,0.9632,0.9105,0.9826,0.4268
5,macaroni1,100.00,0.7493,0.9710,0.6907,0.0557
6,macaroni2,100.00,0.6959,0.9004,0.6741,0.0075
7,pcb1,100.00,0.8468,0.9874,0.8024,0.3912
8,pcb2,100.00,0.7726,0.9619,0.7619,0.0916
9,pcb3,100.00,0.7865,0.9748,0.7906,0.2341
10,pcb4,100.00,0.9520,0.9686,0.9052,0.2268
11,pipe_fryum,100.00,0.9212,0.9858,0.9500,0.4957
Mean,Overall,100.00,0.8258*,0.9623*,0.8281*,0.2608*
