metric,value
experiment_name,VISA-WRN50-TailW0.8-TopK3-ScaleK5
strategy,MoLE-Flow
final_average_img_auc,0.8113635038503851
final_average_pixel_auc,0.9607025223558737
final_average_img_ap,0.8124880979358099
final_average_pixel_ap,0.25904141726794444
total_classes,12
total_tasks,12
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
candle_img_auc,0.8169
candle_pixel_auc,0.9654122537884992
candle_img_ap,0.7621890266872227
candle_pixel_ap,0.1734323833295382
capsules_img_auc,0.6888333333333334
capsules_pixel_auc,0.9533053840132972
capsules_img_ap,0.7793971016013297
capsules_pixel_ap,0.18251197129236593
cashew_img_auc,0.8163999999999999
cashew_pixel_auc,0.9747935507100922
cashew_img_ap,0.9007058705257841
cashew_pixel_ap,0.3837025413287413
chewinggum_img_auc,0.8253
chewinggum_pixel_auc,0.9857237757673982
chewinggum_img_ap,0.8719248100117458
chewinggum_pixel_ap,0.4472842985266837
fryum_img_auc,0.9552
fryum_pixel_auc,0.9045417905137421
fryum_img_ap,0.9787831984864854
fryum_pixel_ap,0.4244501221536342
macaroni1_img_auc,0.7359
macaroni1_pixel_auc,0.9731838022196455
macaroni1_img_ap,0.6761588990666447
macaroni1_pixel_ap,0.056414457819466655
macaroni2_img_auc,0.6859
macaroni2_pixel_auc,0.8940068887620295
macaroni2_img_ap,0.6592936564640393
macaroni2_pixel_ap,0.007546615441518653
pcb1_img_auc,0.8312999999999999
pcb1_pixel_auc,0.987538679757316
pcb1_img_ap,0.7754774621809615
pcb1_pixel_ap,0.39026564930800645
pcb2_img_auc,0.7529
pcb2_pixel_auc,0.9638325811103808
pcb2_img_ap,0.7400466473690759
pcb2_pixel_ap,0.0939288130944163
pcb3_img_auc,0.7728712871287129
pcb3_pixel_auc,0.9727871852485064
pcb3_img_ap,0.7781364905915504
pcb3_pixel_ap,0.23321369667166902
pcb4_img_auc,0.9442574257425743
pcb4_pixel_auc,0.967320957005994
pcb4_img_ap,0.8885677282665713
pcb4_pixel_ap,0.22463838013737575
pipe_fryum_img_auc,0.9106
pipe_fryum_pixel_auc,0.9859834193735834
pipe_fryum_img_ap,0.9391762839783095
pipe_fryum_pixel_ap,0.4911080781119173
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
oracle_mean_img_auc,0.8113635038503851
oracle_mean_pixel_auc,0.9607025223558737
