class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8288000000000001,0.9766847570220545,False,1.0
capsules,1,0.6686666666666666,0.9275757154311705,False,1.0
cashew,2,0.8071999999999999,0.9726668837681556,False,1.0
chewinggum,3,0.8016,0.9846231670681096,False,1.0
fryum,4,0.9571999999999999,0.9135400076152763,False,1.0
macaroni1,5,0.7334,0.9781818482657236,False,1.0
macaroni2,6,0.691,0.9117533940855699,False,1.0
pcb1,7,0.8246,0.9841775997758979,False,1.0
pcb2,8,0.7447000000000001,0.9597595109082024,False,1.0
pcb3,9,0.7791089108910891,0.970524604607921,True,1.0
Average,,0.7836275577557755,0.9579487488548081,,1.0
Task_0_Average,0,0.8288000000000001,0.9766847570220545,,1.0
Task_1_Average,1,0.6686666666666666,0.9275757154311705,,1.0
Task_2_Average,2,0.8071999999999999,0.9726668837681556,,1.0
Task_3_Average,3,0.8016,0.9846231670681096,,1.0
Task_4_Average,4,0.9571999999999999,0.9135400076152763,,1.0
Task_5_Average,5,0.7334,0.9781818482657236,,1.0
Task_6_Average,6,0.691,0.9117533940855699,,1.0
Task_7_Average,7,0.8246,0.9841775997758979,,1.0
Task_8_Average,8,0.7447000000000001,0.9597595109082024,,1.0
Task_9_Average,9,0.7791089108910891,0.970524604607921,,1.0
