metric,value
experiment_name,mole_flow_bottle_cable_wo_slowstage_20251226_065843
strategy,MoLE-Flow
final_average_img_auc,0.8592528140691559
final_average_pixel_auc,0.9499426454083164
final_average_img_ap,0.9198895535610818
final_average_pixel_ap,0.5489886072555733
total_classes,2
total_tasks,2
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,0.9896825396825396
bottle_pixel_auc,0.9688977166662799
bottle_img_ap,0.9969189545667969
bottle_pixel_ap,0.6639383837327039
cable_img_auc,0.7288230884557722
cable_pixel_auc,0.9309875741503529
cable_img_ap,0.8428601525553668
cable_pixel_ap,0.4340388307784428
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
oracle_mean_img_auc,0.8592528140691559
oracle_mean_pixel_auc,0.9499426454083164
